,Date,Open,High,Low,Close,Volume,Polarity,Subjectivity,Adj Close
132,27-04-07,13120.20996,13148,13073.40039,13120.94043,270910000,0,0,13120.94043
133,30-04-07,13062.75,13162.05957,13061.53027,13062.91016,264090000,0.096451763,0.310451453,13062.91016
134,01-05-07,13133.94043,13137.75977,13041.29981,13136.13965,248960000,0.1625,0.336309524,13136.13965
135,02-05-07,13206.65039,13256.33008,13130.53027,13211.87988,251340000,0.094447229,0.316334877,13211.87988
136,03-05-07,13243.08008,13246.82031,13196.03027,13241.37988,247240000,0.175675054,0.396764069,13241.37988
137,04-05-07,13264.12988,13284.53027,13228.78027,13264.62012,236320000,0.136197863,0.318666598,13264.62012
138,07-05-07,13309.40039,13317.69043,13260.79981,13312.96973,206190000,0.074961735,0.38045068,13312.96973
139,08-05-07,13300.62012,13314.42969,13237.55957,13309.07031,225600000,0.076271722,0.363648796,13309.07031
140,09-05-07,13359.04981,13369.29004,13278.34961,13362.87012,237040000,0,0,13362.87012
141,10-05-07,13212.2002,13359.12988,13210.90039,13215.12988,224640000,0.030681818,0.256439394,13215.12988
142,11-05-07,13325.80957,13333.4502,13212.04004,13326.21973,257840000,0.053229665,0.152432217,13326.21973
143,14-05-07,13346.04981,13383.75977,13297.04004,13346.78027,199620000,0.05275389,0.400470925,13346.78027
144,15-05-07,13486.95996,13481.59961,13339.46973,13383.83984,265250000,0.072433155,0.36771836,13383.83984
145,16-05-07,13487.53027,13489.57031,13363.92969,13487.53027,237790000,0.115747106,0.50190633,13487.53027
146,17-05-07,13476.40039,13516.70996,13447.79004,13476.71973,195800000,0.083564815,0.27755291,13476.71973
147,18-05-07,13556.53027,13558.48047,13476.40039,13556.53027,282930000,0.08887987,0.310849567,13556.53027
148,21-05-07,13544.99023,13586.03027,13529.13965,13542.87988,215550000,0,0,13542.87988
149,22-05-07,13540.83984,13586.67969,13528.98047,13539.9502,201290000,0.049931129,0.416815886,13539.9502
150,23-05-07,13522.59961,13609.75977,13505.16992,13525.65039,208260000,0.046656903,0.372135259,13525.65039
151,24-05-07,13441.94043,13624.54981,13423.90039,13441.12988,240810000,0.18,0.482222222,13441.12988
152,25-05-07,13507.28027,13516.13965,13440.07031,13507.28027,183470000,0.097027986,0.340539809,13507.28027
153,29-05-07,13517.88965,13564.66016,13465.34961,13521.33984,205620000,0.076283584,0.33060603,13521.33984
154,30-05-07,13633,13636.08984,13456.73047,13633.08008,224780000,0.030980311,0.279950885,13633.08008
155,31-05-07,13628.69043,13673.07031,13614.71973,13627.63965,243510000,0.088753646,0.367737837,13627.63965
156,01-06-07,13667.20996,13692,13624.38965,13668.11035,212780000,0.118324945,0.433045638,13668.11035
157,04-06-07,13673.19043,13690.37988,13618.78027,13676.32031,177830000,0.09802545,0.40860706,13676.32031
158,05-06-07,13590.66016,13673.50977,13551,13595.45996,223040000,0,0,13595.45996
159,06-06-07,13463.48047,13591.07031,13437.30957,13465.66992,236830000,0.155080214,0.371345811,13465.66992
160,07-06-07,13267.13965,13480.21973,13259.82031,13266.73047,298880000,0.011452763,0.174286988,13266.73047
161,08-06-07,13424.38965,13431.21973,13251.53027,13424.38965,242000000,0.197937739,0.551089015,13424.38965
162,11-06-07,13424.38965,13478.11035,13381.63965,13424.95996,183300000,0.115909091,0.407792208,13424.95996
163,12-06-07,13287.62012,13449.5,13294.61035,13295.00977,233420000,0,0,13295.00977
164,13-06-07,13482.42969,13485.12012,13287.62012,13482.34961,253050000,-0.01099977,0.328039486,13482.34961
165,14-06-07,13556.65039,13581.61035,13479.34961,13553.73047,228680000,0,0,13553.73047
166,15-06-07,13639,13688.66016,13556.49023,13639.48047,425080000,0,0,13639.48047
167,18-06-07,13611.67969,13667.94043,13608.75977,13612.98047,174380000,-0.06640625,0.43046875,13612.98047
168,19-06-07,13636.55957,13652.16992,13577.21973,13635.41992,233720000,0.1232505,0.375709846,13635.41992
169,20-06-07,13486.66016,13674.36035,13483.25,13489.41992,274670000,0.025774825,0.373931856,13489.41992
170,21-06-07,13545.03027,13564.20996,13398.87012,13545.83984,241170000,0.186912137,0.500294292,13545.83984
171,22-06-07,13360.08984,13545.11035,13359.69043,13360.25977,380870000,0,0,13360.25977
172,25-06-07,13352.37012,13488.76953,13299.78027,13352.04981,251720000,0.190909091,0.353030303,13352.04981
173,26-06-07,13336.92969,13452.51953,13308.71973,13337.66016,240950000,0.06579157,0.290840618,13337.66016
174,27-06-07,13427.48047,13433.00977,13259.86035,13427.73047,246010000,0,0,13427.73047
175,28-06-07,13422.61035,13498.29004,13389.28027,13422.28027,207130000,0.188333333,0.42375,13422.28027
176,29-06-07,13409.59961,13524.54004,13314,13408.62012,262110000,0.05,0.17037037,13408.62012
177,02-07-07,13531.53027,13537.87012,13409.51953,13535.42969,196410000,0.000710227,0.255492424,13535.42969
178,03-07-07,13576.24023,13591.69043,13531.53027,13577.29981,111580000,0,0,13577.29981
179,05-07-07,13559.00977,13580.05957,13513.49023,13565.83984,188840000,0.036209524,0.223647619,13565.83984
180,06-07-07,13612.66016,13633.62988,13537.9502,13611.67969,176040000,-0.030102041,0.275680272,13611.67969
181,09-07-07,13648.58984,13670.45996,13609,13649.96973,192840000,0.033823954,0.327946729,13649.96973
182,10-07-07,13500.40039,13649.24023,13496.16992,13501.7002,274420000,-0.047336648,0.364867424,13501.7002
183,11-07-07,13579.33008,13590.9502,13474.79004,13577.87012,224410000,0.007177688,0.319559423,13577.87012
184,12-07-07,13859.86035,13869.94043,13579.16992,13861.73047,300520000,0.0421079,0.343149795,13861.73047
185,13-07-07,13907.08984,13932.29004,13845.87988,13907.25,223820000,0.034606061,0.297575758,13907.25
186,16-07-07,13951.95996,13989.11035,13894.98047,13950.98047,209060000,0.118774704,0.413306983,13950.98047
187,17-07-07,13955.04981,14021.9502,13942.84961,13971.54981,266020000,0.06001453,0.307602424,13971.54981
188,18-07-07,13918.79004,13965.94043,13823.59961,13918.21973,324400000,0,0,13918.21973
189,19-07-07,14000.73047,14015.84961,13918.79004,14000.41016,265390000,0.11861593,0.327699803,14000.41016
190,20-07-07,13851.73047,14009.26953,13797.66992,13851.08008,377650000,0.025849151,0.270458708,13851.08008
191,23-07-07,13940.90039,13973.99023,13851.73047,13943.41992,237450000,0.039265375,0.340452584,13943.41992
192,24-07-07,13718.25,13940.99023,13701.58984,13716.9502,296990000,0.098214286,0.383035714,13716.9502
193,25-07-07,13783.12012,13822.21973,13674.83984,13785.07031,266860000,0.123769488,0.471403025,13785.07031
194,26-07-07,13472.67969,13783.4502,13335.29981,13473.57031,426880000,0.133194554,0.362720575,13473.57031
195,27-07-07,13266.20996,13520.79981,13265.46973,13265.46973,337120000,0,0,13265.46973
196,30-07-07,13360.66016,13397.73047,13219.13965,13358.30957,295450000,0.042400826,0.404740129,13358.30957
197,31-07-07,13211.08984,13498.53027,13199.79004,13211.99023,319890000,0.127783065,0.313395656,13211.99023
198,01-08-07,13357.82031,13393.01953,13132.65039,13362.37012,355960000,0.095128925,0.406094207,13362.37012
199,02-08-07,13462.25,13503.33008,13350.41992,13463.33008,264830000,0.118057163,0.383428767,13463.33008
200,03-08-07,13183.12988,13471.79004,13175.24023,13181.91016,301800000,0.190097403,0.412824675,13181.91016
201,06-08-07,13467.71973,13470.16016,13158.58008,13468.78027,311810000,0.118308081,0.296212121,13468.78027
202,07-08-07,13497.23047,13608.11035,13347.16992,13504.29981,273340000,0,0,13504.29981
203,08-08-07,13652.33008,13695.82031,13484.79004,13657.86035,288040000,0.097768872,0.387672782,13657.86035
204,09-08-07,13270.58984,13652.33008,13270.67969,13270.67969,362490000,0.033800092,0.312790536,13270.67969
205,10-08-07,13239.54004,13306.51953,13057.86035,13239.54004,338560000,0.052816487,0.337939737,13239.54004
206,13-08-07,13235.71973,13338.15039,13219.45996,13236.53027,215260000,0.150108225,0.427007576,13236.53027
207,14-08-07,13021.92969,13269.78027,13018.26953,13028.91992,269120000,0,0,13028.91992
208,15-08-07,12861.46973,13119.32031,12834.24023,12861.46973,272760000,0.170464444,0.4527604,12861.46973
209,16-08-07,12848.04981,12885.84961,12517.94043,12845.78027,457150000,0.07415372,0.417755903,12845.78027
210,17-08-07,13079.08008,13167.67969,12847.80957,13079.08008,423940000,0.093821549,0.394250842,13079.08008
211,20-08-07,13120.04981,13181.66016,12982.75,13121.34961,231800000,0.11938362,0.400067955,13121.34961
212,21-08-07,13090.86035,13178.33008,13052.16992,13090.86035,204000000,0,0,13090.86035
213,22-08-07,13236.12988,13248.08008,13088.25977,13236.12988,205530000,0.000680473,0.331715976,13236.12988
214,23-08-07,13235.87988,13298.63965,13169.15039,13235.87988,198160000,0.049984999,0.352176936,13235.87988
215,24-08-07,13377.16016,13381.46973,13208.65039,13378.87012,186060000,0.079740104,0.386656965,13378.87012
